template_a,template_b,similarity,text_a,text_b
16,45,1.0,program interrupt: <*> <*>,program interrupt
95,95,0.9825437286215926,"10722 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.","<*> total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt."
9,9,0.9718588497829228,"1 ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>","1 ddr errors(s) detected and corrected on rank 0, symbol <*> bit 1"
82,82,0.9693289975883601,"Error receiving packet on tree network, expecting type 57 instead of type 3 <*> <*> 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007","Error receiving packet on tree network, expecting type 57 instead of type 3 <*> <*> 00000002 00000000) <*> PSR1=00000000 PRXF=00000002 PIXF=00000007"
66,66,0.9690794354368316,1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,<*> tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
9,9,0.9628297148901783,"1 ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>","<*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>"
50,50,0.9583203870271145,1 torus receiver <*> input pipe error(s) (dcr <*> detected and corrected,<*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected
25,25,0.9547712339159524,floating pt ex mode <*> enable......0,floating pt ex mode 0 enable......0
68,68,0.9468102065890466,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:42213: Link has been severed,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed
42,42,0.9393784953798658,total of 1 ddr error(s) detected and corrected,total of <*> ddr error(s) detected and corrected
43,43,0.9357917359751841,"ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory","ciod: Error loading <*> invalid or missing program image, No such file or directory"
4,4,0.9357643591510658,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,ciod: failed to read message prefix on control stream (CioStream socket to <*>
90,90,0.9313635660790812,ciod: Error reading message prefix on CioStream socket to <*> Connection reset by peer,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52839, Connection reset by peer"
59,62,0.9300299574259483,"Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.",Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
82,82,0.9288354487126933,"Error receiving packet on tree network, expecting type 57 instead of type 3 <*> <*> 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007","Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=0064588e 8aff0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007"
9,9,0.926595597193725,"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1","1 ddr errors(s) detected and corrected on rank 0, symbol <*> bit 1"
89,89,0.9260528603777328,ciod: Error reading message prefix on CioStream socket to <*> Connection timed out,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:41554, Connection timed out"
67,67,0.9245221525377479,"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error","ciod: Error loading <*> invalid or missing program image, Exec format error"
63,63,0.9234024978650994,Ido chip status changed: <*> <*> v=13 <*> status=M <*> <*> <*> <*> PDT 2005,Ido chip status changed: <*> <*> v=13 <*> status=M <*> Aug <*> <*> PDT 2005
49,49,0.9204292505617725,ciod: Missing or invalid fields on line 1 of node map file <*>,ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/64mps.sequential.mapfile
